source,region,country,year,metric_type,value
Energy Institute,Non-OECD,,1973,CO₂ emissions from energy (MtCO₂),5354.286784
Energy Institute,Non-OECD,,1974,CO₂ emissions from energy (MtCO₂),5543.493173
Energy Institute,Non-OECD,,1975,CO₂ emissions from energy (MtCO₂),5862.628428
Energy Institute,Non-OECD,,1976,CO₂ emissions from energy (MtCO₂),6132.10326
Energy Institute,Non-OECD,,1977,CO₂ emissions from energy (MtCO₂),6478.083173
Energy Institute,Non-OECD,,1978,CO₂ emissions from energy (MtCO₂),6798.034038
Energy Institute,Non-OECD,,1979,CO₂ emissions from energy (MtCO₂),7069.618987
Energy Institute,Non-OECD,,1980,CO₂ emissions from energy (MtCO₂),7162.65767
Energy Institute,Non-OECD,,1981,CO₂ emissions from energy (MtCO₂),7296.605006
Energy Institute,Non-OECD,,1982,CO₂ emissions from energy (MtCO₂),7521.444853
Energy Institute,Non-OECD,,1983,CO₂ emissions from energy (MtCO₂),7766.508913
Energy Institute,Non-OECD,,1984,CO₂ emissions from energy (MtCO₂),8077.880201
Energy Institute,Non-OECD,,1985,CO₂ emissions from energy (MtCO₂),8300.099902
Energy Institute,Non-OECD,,1986,CO₂ emissions from energy (MtCO₂),8576.938627
Energy Institute,Non-OECD,,1987,CO₂ emissions from energy (MtCO₂),8935.202047
Energy Institute,Non-OECD,,1988,CO₂ emissions from energy (MtCO₂),9269.42932
Energy Institute,Non-OECD,,1989,CO₂ emissions from energy (MtCO₂),9445.490439
Energy Institute,Non-OECD,,1990,CO₂ emissions from energy (MtCO₂),9620.394276
Energy Institute,Non-OECD,,1991,CO₂ emissions from energy (MtCO₂),9629.956189
Energy Institute,Non-OECD,,1992,CO₂ emissions from energy (MtCO₂),9656.900193
Energy Institute,Non-OECD,,1993,CO₂ emissions from energy (MtCO₂),9642.780145
Energy Institute,Non-OECD,,1994,CO₂ emissions from energy (MtCO₂),9684.408329
Energy Institute,Non-OECD,,1995,CO₂ emissions from energy (MtCO₂),9830.265135
Energy Institute,Non-OECD,,1996,CO₂ emissions from energy (MtCO₂),10010.27561
