source,technology,region,country,year,metric_type,value
Energy Institute,Biofuels,Africa,,2020,Primary energy consumption (EJ),0.003269721
Energy Institute,Biofuels,Africa,,2021,Primary energy consumption (EJ),0.003888431
Energy Institute,Biofuels,Africa,,2022,Primary energy consumption (EJ),0.002971006
Energy Institute,Biofuels,Africa,,2023,Primary energy consumption (EJ),0.003000378
Energy Institute,Biofuels,Asia Pacific,Australia,2000,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,South Korea,2000,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,Thailand,2000,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,Indonesia,2000,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,China,2000,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,India,2000,Primary energy consumption (EJ),0.002211
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2000,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,South Korea,2001,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,Indonesia,2001,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,India,2001,Primary energy consumption (EJ),0.0034103
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2001,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,Australia,2001,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,Thailand,2001,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,China,2001,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2002,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,Thailand,2002,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,Indonesia,2002,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,China,2002,Primary energy consumption (EJ),0.006175505
Energy Institute,Biofuels,Asia Pacific,South Korea,2002,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,India,2002,Primary energy consumption (EJ),0.0036046
Energy Institute,Biofuels,Asia Pacific,Australia,2002,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,Indonesia,2003,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,Thailand,2003,Primary energy consumption (EJ),6.38511E-06
Energy Institute,Biofuels,Asia Pacific,South Korea,2003,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,India,2003,Primary energy consumption (EJ),0.0037788
Energy Institute,Biofuels,Asia Pacific,Australia,2003,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,China,2003,Primary energy consumption (EJ),0.017044393
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2003,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2004,Primary energy consumption (EJ),5.23338E-06
Energy Institute,Biofuels,Asia Pacific,China,2004,Primary energy consumption (EJ),0.021493482
Energy Institute,Biofuels,Asia Pacific,Indonesia,2004,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,India,2004,Primary energy consumption (EJ),0.0039932
Energy Institute,Biofuels,Asia Pacific,South Korea,2004,Primary energy consumption (EJ),0.000230274
Energy Institute,Biofuels,Asia Pacific,Thailand,2004,Primary energy consumption (EJ),0.000202403
Energy Institute,Biofuels,Asia Pacific,Australia,2004,Primary energy consumption (EJ),
Energy Institute,Biofuels,Asia Pacific,South Korea,2005,Primary energy consumption (EJ),0.000561031
Energy Institute,Biofuels,Asia Pacific,Australia,2005,Primary energy consumption (EJ),0.00084354
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2005,Primary energy consumption (EJ),8.17254E-05
Energy Institute,Biofuels,Asia Pacific,Thailand,2005,Primary energy consumption (EJ),0.001623848
Energy Institute,Biofuels,Asia Pacific,India,2005,Primary energy consumption (EJ),0.0042076
Energy Institute,Biofuels,Asia Pacific,Indonesia,2005,Primary energy consumption (EJ),7.48203E-05
Energy Institute,Biofuels,Asia Pacific,China,2005,Primary energy consumption (EJ),0.030151032
Energy Institute,Biofuels,Asia Pacific,Australia,2006,Primary energy consumption (EJ),0.002733121
Energy Institute,Biofuels,Asia Pacific,South Korea,2006,Primary energy consumption (EJ),0.002231564
Energy Institute,Biofuels,Asia Pacific,China,2006,Primary energy consumption (EJ),0.04344465
Energy Institute,Biofuels,Asia Pacific,Indonesia,2006,Primary energy consumption (EJ),0.000165649
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2006,Primary energy consumption (EJ),0.000551175
Energy Institute,Biofuels,Asia Pacific,Thailand,2006,Primary energy consumption (EJ),0.002909384
