source,group_technology,technology,project_type,region,country,period,year,metric_type,value_category,country_value,regional_value
IRENA,Wind,Onshore wind,,,South Africa,2016-2023,2023,Total installed cost (USD/kW),Weighted average,1732,
IRENA,Wind,Onshore wind,,,Ukraine,2010-2015,2011,Total installed cost (USD/kW),Weighted average,1392.489456,
IRENA,Wind,Onshore wind,,,Ukraine,2010-2015,2012,Total installed cost (USD/kW),Weighted average,2898.145786,
IRENA,Wind,Onshore wind,,,Ukraine,2010-2015,2013,Total installed cost (USD/kW),Weighted average,2986.816381,
IRENA,Wind,Onshore wind,,,Ukraine,2010-2015,2014,Total installed cost (USD/kW),Weighted average,2394.856884,
IRENA,Wind,Onshore wind,,,Ukraine,2016-2023,2017,Total installed cost (USD/kW),Weighted average,2316.435332,
IRENA,Wind,Onshore wind,,,Ukraine,2016-2023,2019,Total installed cost (USD/kW),Weighted average,2426.685541,
IRENA,Wind,Onshore wind,,,Ukraine,2016-2023,2020,Total installed cost (USD/kW),Weighted average,1695.413431,
IRENA,Wind,Onshore wind,,,Ukraine,2016-2023,2021,Total installed cost (USD/kW),Weighted average,1370.008468,
IRENA,Wind,Onshore wind,,,Ukraine,2016-2023,2023,Total installed cost (USD/kW),Weighted average,1603.236258,
IRENA,Wind,Onshore wind,,,Uruguay,2010-2015,2011,Total installed cost (USD/kW),Weighted average,3998.796931,
IRENA,Wind,Onshore wind,,,Uruguay,2010-2015,2012,Total installed cost (USD/kW),Weighted average,3841.065393,
IRENA,Wind,Onshore wind,,,Uruguay,2010-2015,2013,Total installed cost (USD/kW),Weighted average,2725.917368,
IRENA,Wind,Onshore wind,,,Uruguay,2010-2015,2014,Total installed cost (USD/kW),Weighted average,2808.210802,
IRENA,Wind,Onshore wind,,,Uruguay,2010-2015,2015,Total installed cost (USD/kW),Weighted average,2425.361633,
IRENA,Wind,Onshore wind,,,Uruguay,2016-2023,2017,Total installed cost (USD/kW),Weighted average,2700.632235,
IRENA,Wind,Onshore wind,,,Viet Nam,2010-2015,2011,Total installed cost (USD/kW),Weighted average,2455.803745,
IRENA,Wind,Onshore wind,,,Viet Nam,2010-2015,2012,Total installed cost (USD/kW),Weighted average,3226.815287,
IRENA,Wind,Onshore wind,,,Viet Nam,2010-2015,2013,Total installed cost (USD/kW),Weighted average,3033.12119,
IRENA,Wind,Onshore wind,,,Viet Nam,2010-2015,2015,Total installed cost (USD/kW),Weighted average,2434.1571,
IRENA,Wind,Onshore wind,,,Viet Nam,2016-2023,2016,Total installed cost (USD/kW),Weighted average,2458.866978,
IRENA,Wind,Onshore wind,,,Viet Nam,2016-2023,2017,Total installed cost (USD/kW),Weighted average,2577.772775,
IRENA,Wind,Onshore wind,,,Viet Nam,2016-2023,2019,Total installed cost (USD/kW),Weighted average,2658.412661,
IRENA,Wind,Onshore wind,,,Viet Nam,2016-2023,2020,Total installed cost (USD/kW),Weighted average,2675.880982,
IRENA,Wind,Onshore wind,,,Viet Nam,2016-2023,2021,Total installed cost (USD/kW),Weighted average,1706.92931,
IRENA,Wind,Onshore wind,,,Viet Nam,2016-2023,2022,Total installed cost (USD/kW),Weighted average,1785.641829,
IRENA,Wind,Onshore wind,,,Viet Nam,2016-2023,2023,Total installed cost (USD/kW),Weighted average,1690.215204,
IRENA,Wind,Onshore wind,,,Brazil,1984-2009,2001,Capacity factor (%),Weighted average,35,
IRENA,Wind,Onshore wind,,,Brazil,1984-2009,2002,Capacity factor (%),Weighted average,35.2,
IRENA,Wind,Onshore wind,,,Brazil,1984-2009,2003,Capacity factor (%),Weighted average,36,
IRENA,Wind,Onshore wind,,,Brazil,1984-2009,2005,Capacity factor (%),Weighted average,37,
IRENA,Wind,Onshore wind,,,Brazil,1984-2009,2006,Capacity factor (%),Weighted average,41.75,
IRENA,Wind,Onshore wind,,,Brazil,1984-2009,2007,Capacity factor (%),Weighted average,40.75824742,
IRENA,Wind,Onshore wind,,,Brazil,1984-2009,2008,Capacity factor (%),Weighted average,75.67021277,
IRENA,Wind,Onshore wind,,,Brazil,1984-2009,2009,Capacity factor (%),Weighted average,37.11625508,
IRENA,Wind,Onshore wind,,,Brazil,2010-2015,2010,Capacity factor (%),Weighted average,36,
IRENA,Wind,Onshore wind,,,Brazil,2010-2015,2011,Capacity factor (%),Weighted average,42.93377579,
IRENA,Wind,Onshore wind,,,Brazil,2010-2015,2012,Capacity factor (%),Weighted average,44.08068712,
IRENA,Wind,Onshore wind,,,Brazil,2010-2015,2013,Capacity factor (%),Weighted average,47.37046316,
IRENA,Wind,Onshore wind,,,Brazil,2010-2015,2014,Capacity factor (%),Weighted average,45.61755835,
IRENA,Wind,Onshore wind,,,Brazil,2010-2015,2015,Capacity factor (%),Weighted average,45.51434829,
IRENA,Wind,Onshore wind,,,Brazil,2016-2023,2016,Capacity factor (%),Weighted average,47.42296188,
IRENA,Wind,Onshore wind,,,Brazil,2016-2023,2017,Capacity factor (%),Weighted average,47.51722725,
IRENA,Wind,Onshore wind,,,Brazil,2016-2023,2018,Capacity factor (%),Weighted average,46.66927097,
IRENA,Wind,Onshore wind,,,Brazil,2016-2023,2019,Capacity factor (%),Weighted average,51.20133943,
IRENA,Wind,Onshore wind,,,Brazil,2016-2023,2020,Capacity factor (%),Weighted average,49.01766648,
IRENA,Wind,Onshore wind,,,Brazil,2016-2023,2021,Capacity factor (%),Weighted average,51.83864693,
IRENA,Wind,Onshore wind,,,Brazil,2016-2023,2022,Capacity factor (%),Weighted average,49.88368101,
IRENA,Wind,Onshore wind,,,Brazil,2016-2023,2023,Capacity factor (%),Weighted average,54.45476885,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,1990,Capacity factor (%),Weighted average,21.71,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,1992,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,1993,Capacity factor (%),Weighted average,31,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,1994,Capacity factor (%),Weighted average,27.10626471,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,1996,Capacity factor (%),Weighted average,19,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,1999,Capacity factor (%),Weighted average,19,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2000,Capacity factor (%),Weighted average,22,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2001,Capacity factor (%),Weighted average,27.34381415,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2002,Capacity factor (%),Weighted average,32.130204,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2003,Capacity factor (%),Weighted average,27.99727696,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2004,Capacity factor (%),Weighted average,29.03180309,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2005,Capacity factor (%),Weighted average,36.24613367,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2006,Capacity factor (%),Weighted average,32.89648034,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2007,Capacity factor (%),Weighted average,32.44018266,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2008,Capacity factor (%),Weighted average,31.05408266,
IRENA,Wind,Onshore wind,,,Canada,1984-2009,2009,Capacity factor (%),Weighted average,31.21517064,
IRENA,Wind,Onshore wind,,,Canada,2010-2015,2010,Capacity factor (%),Weighted average,32.37476279,
IRENA,Wind,Onshore wind,,,Canada,2010-2015,2011,Capacity factor (%),Weighted average,33.17144989,
IRENA,Wind,Onshore wind,,,Canada,2010-2015,2012,Capacity factor (%),Weighted average,30.37695874,
IRENA,Wind,Onshore wind,,,Canada,2010-2015,2013,Capacity factor (%),Weighted average,31.07787193,
IRENA,Wind,Onshore wind,,,Canada,2010-2015,2014,Capacity factor (%),Weighted average,32.09264701,
IRENA,Wind,Onshore wind,,,Canada,2010-2015,2015,Capacity factor (%),Weighted average,35.32145595,
IRENA,Wind,Onshore wind,,,Canada,2016-2023,2016,Capacity factor (%),Weighted average,30.7843398,
IRENA,Wind,Onshore wind,,,Canada,2016-2023,2017,Capacity factor (%),Weighted average,34.15267883,
IRENA,Wind,Onshore wind,,,Canada,2016-2023,2018,Capacity factor (%),Weighted average,35.74512283,
IRENA,Wind,Onshore wind,,,Canada,2016-2023,2019,Capacity factor (%),Weighted average,39.30832455,
IRENA,Wind,Onshore wind,,,Canada,2016-2023,2020,Capacity factor (%),Weighted average,38.06356996,
IRENA,Wind,Onshore wind,,,Canada,2016-2023,2021,Capacity factor (%),Weighted average,45.16257098,
IRENA,Wind,Onshore wind,,,Canada,2016-2023,2022,Capacity factor (%),Weighted average,46.78773579,
IRENA,Wind,Onshore wind,,,Canada,2016-2023,2023,Capacity factor (%),Weighted average,38.56182796,
IRENA,Wind,Onshore wind,,,China,1984-2009,1996,Capacity factor (%),Weighted average,19,
IRENA,Wind,Onshore wind,,,China,1984-2009,1997,Capacity factor (%),Weighted average,19,
IRENA,Wind,Onshore wind,,,China,1984-2009,1998,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,China,1984-2009,1999,Capacity factor (%),Weighted average,19,
IRENA,Wind,Onshore wind,,,China,1984-2009,2000,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,China,1984-2009,2001,Capacity factor (%),Weighted average,23,
IRENA,Wind,Onshore wind,,,China,1984-2009,2002,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,China,1984-2009,2003,Capacity factor (%),Weighted average,24.50482824,
IRENA,Wind,Onshore wind,,,China,1984-2009,2004,Capacity factor (%),Weighted average,23.86225905,
IRENA,Wind,Onshore wind,,,China,1984-2009,2005,Capacity factor (%),Weighted average,23.12022947,
IRENA,Wind,Onshore wind,,,China,1984-2009,2006,Capacity factor (%),Weighted average,24.14888936,
IRENA,Wind,Onshore wind,,,China,1984-2009,2007,Capacity factor (%),Weighted average,25.86546871,
IRENA,Wind,Onshore wind,,,China,1984-2009,2008,Capacity factor (%),Weighted average,24.73447677,
IRENA,Wind,Onshore wind,,,China,1984-2009,2009,Capacity factor (%),Weighted average,24.53398438,
IRENA,Wind,Onshore wind,,,China,2010-2015,2010,Capacity factor (%),Weighted average,25.42657259,
IRENA,Wind,Onshore wind,,,China,2010-2015,2011,Capacity factor (%),Weighted average,25.22330108,
IRENA,Wind,Onshore wind,,,China,2010-2015,2012,Capacity factor (%),Weighted average,24.11688254,
IRENA,Wind,Onshore wind,,,China,2010-2015,2013,Capacity factor (%),Weighted average,23.64314464,
IRENA,Wind,Onshore wind,,,China,2010-2015,2014,Capacity factor (%),Weighted average,24.14161053,
IRENA,Wind,Onshore wind,,,China,2010-2015,2015,Capacity factor (%),Weighted average,24.23441157,
IRENA,Wind,Onshore wind,,,China,2016-2023,2016,Capacity factor (%),Weighted average,24.90610152,
IRENA,Wind,Onshore wind,,,China,2016-2023,2017,Capacity factor (%),Weighted average,29.05479645,
IRENA,Wind,Onshore wind,,,China,2016-2023,2018,Capacity factor (%),Weighted average,26.93028724,
IRENA,Wind,Onshore wind,,,China,2016-2023,2019,Capacity factor (%),Weighted average,31.42230307,
IRENA,Wind,Onshore wind,,,China,2016-2023,2020,Capacity factor (%),Weighted average,33.13838969,
IRENA,Wind,Onshore wind,,,China,2016-2023,2021,Capacity factor (%),Weighted average,36.08188112,
IRENA,Wind,Onshore wind,,,China,2016-2023,2022,Capacity factor (%),Weighted average,35.44455911,
IRENA,Wind,Onshore wind,,,China,2016-2023,2023,Capacity factor (%),Weighted average,34.5430825,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1984,Capacity factor (%),Weighted average,20.68,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1985,Capacity factor (%),Weighted average,21.98,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1986,Capacity factor (%),Weighted average,22.01,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1987,Capacity factor (%),Weighted average,22.01,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1988,Capacity factor (%),Weighted average,19.23,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1989,Capacity factor (%),Weighted average,20.45,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1990,Capacity factor (%),Weighted average,21.71,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1991,Capacity factor (%),Weighted average,22.75,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1992,Capacity factor (%),Weighted average,22.07,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1993,Capacity factor (%),Weighted average,21.48,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1995,Capacity factor (%),Weighted average,22.96,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1996,Capacity factor (%),Weighted average,22.96,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1997,Capacity factor (%),Weighted average,21.88,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1998,Capacity factor (%),Weighted average,21.21,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1999,Capacity factor (%),Weighted average,20.66,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,2000,Capacity factor (%),Weighted average,18.22,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,2001,Capacity factor (%),Weighted average,18.22,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,2002,Capacity factor (%),Weighted average,22.2,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,2003,Capacity factor (%),Weighted average,27.08,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,2004,Capacity factor (%),Weighted average,28.33,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,2005,Capacity factor (%),Weighted average,25.89,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,2006,Capacity factor (%),Weighted average,23,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,2008,Capacity factor (%),Weighted average,28.95,
IRENA,Wind,Onshore wind,,,Denmark,2010-2015,2010,Capacity factor (%),Weighted average,27,
IRENA,Wind,Onshore wind,,,Denmark,2010-2015,2011,Capacity factor (%),Weighted average,28,
IRENA,Wind,Onshore wind,,,Denmark,2010-2015,2012,Capacity factor (%),Weighted average,29,
IRENA,Wind,Onshore wind,,,Denmark,2010-2015,2013,Capacity factor (%),Weighted average,30,
IRENA,Wind,Onshore wind,,,Denmark,2010-2015,2015,Capacity factor (%),Weighted average,34,
IRENA,Wind,Onshore wind,,,Denmark,2016-2023,2016,Capacity factor (%),Weighted average,35,
IRENA,Wind,Onshore wind,,,Denmark,2016-2023,2017,Capacity factor (%),Weighted average,36.72834646,
IRENA,Wind,Onshore wind,,,Denmark,2016-2023,2018,Capacity factor (%),Weighted average,39.4355,
IRENA,Wind,Onshore wind,,,Denmark,2016-2023,2019,Capacity factor (%),Weighted average,39,
IRENA,Wind,Onshore wind,,,Denmark,2016-2023,2020,Capacity factor (%),Weighted average,39,
IRENA,Wind,Onshore wind,,,France,1984-2009,1991,Capacity factor (%),Weighted average,22.75,
IRENA,Wind,Onshore wind,,,France,1984-2009,1993,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,France,1984-2009,1996,Capacity factor (%),Weighted average,19,
IRENA,Wind,Onshore wind,,,France,1984-2009,1997,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,France,1984-2009,1998,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,France,1984-2009,1999,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,France,1984-2009,2000,Capacity factor (%),Weighted average,21.139397,
IRENA,Wind,Onshore wind,,,France,1984-2009,2001,Capacity factor (%),Weighted average,23,
IRENA,Wind,Onshore wind,,,France,1984-2009,2002,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,France,1984-2009,2003,Capacity factor (%),Weighted average,26.4731807,
IRENA,Wind,Onshore wind,,,France,1984-2009,2004,Capacity factor (%),Weighted average,24,
IRENA,Wind,Onshore wind,,,France,1984-2009,2005,Capacity factor (%),Weighted average,23.37574413,
IRENA,Wind,Onshore wind,,,France,1984-2009,2006,Capacity factor (%),Weighted average,24.16615611,
IRENA,Wind,Onshore wind,,,France,1984-2009,2007,Capacity factor (%),Weighted average,24.0840968,
IRENA,Wind,Onshore wind,,,France,1984-2009,2008,Capacity factor (%),Weighted average,24.12189226,
IRENA,Wind,Onshore wind,,,France,1984-2009,2009,Capacity factor (%),Weighted average,26.36609603,
IRENA,Wind,Onshore wind,,,France,2010-2015,2010,Capacity factor (%),Weighted average,26.4577776,
IRENA,Wind,Onshore wind,,,France,2010-2015,2011,Capacity factor (%),Weighted average,26.39487105,
IRENA,Wind,Onshore wind,,,France,2010-2015,2012,Capacity factor (%),Weighted average,26.32114738,
IRENA,Wind,Onshore wind,,,France,2010-2015,2013,Capacity factor (%),Weighted average,26.5,
IRENA,Wind,Onshore wind,,,France,2010-2015,2014,Capacity factor (%),Weighted average,26.46179306,
IRENA,Wind,Onshore wind,,,France,2010-2015,2015,Capacity factor (%),Weighted average,26.80331217,
IRENA,Wind,Onshore wind,,,France,2016-2023,2016,Capacity factor (%),Weighted average,27.64228928,
IRENA,Wind,Onshore wind,,,France,2016-2023,2017,Capacity factor (%),Weighted average,26.24723797,
IRENA,Wind,Onshore wind,,,France,2016-2023,2018,Capacity factor (%),Weighted average,30.92555606,
IRENA,Wind,Onshore wind,,,France,2016-2023,2019,Capacity factor (%),Weighted average,32.99573452,
IRENA,Wind,Onshore wind,,,France,2016-2023,2020,Capacity factor (%),Weighted average,32.2330101,
IRENA,Wind,Onshore wind,,,France,2016-2023,2021,Capacity factor (%),Weighted average,33.92905208,
IRENA,Wind,Onshore wind,,,France,2016-2023,2022,Capacity factor (%),Weighted average,31.89287924,
IRENA,Wind,Onshore wind,,,France,2016-2023,2023,Capacity factor (%),Weighted average,33.41279584,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1984,Capacity factor (%),Weighted average,20.68,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1990,Capacity factor (%),Weighted average,21.71,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1991,Capacity factor (%),Weighted average,22.75,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1992,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1993,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1994,Capacity factor (%),Weighted average,25,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1995,Capacity factor (%),Weighted average,18,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1996,Capacity factor (%),Weighted average,19,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1997,Capacity factor (%),Weighted average,19,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1998,Capacity factor (%),Weighted average,21,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1999,Capacity factor (%),Weighted average,19.03396575,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2000,Capacity factor (%),Weighted average,19.23394127,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2001,Capacity factor (%),Weighted average,18.34575356,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2002,Capacity factor (%),Weighted average,23.00024881,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2003,Capacity factor (%),Weighted average,25,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2004,Capacity factor (%),Weighted average,25.05495795,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2005,Capacity factor (%),Weighted average,24.01174064,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2006,Capacity factor (%),Weighted average,23.04284205,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2007,Capacity factor (%),Weighted average,25,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2008,Capacity factor (%),Weighted average,21.96245667,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,2009,Capacity factor (%),Weighted average,23.09713977,
IRENA,Wind,Onshore wind,,,Germany,2010-2015,2010,Capacity factor (%),Weighted average,24,
IRENA,Wind,Onshore wind,,,Germany,2010-2015,2011,Capacity factor (%),Weighted average,24,
IRENA,Wind,Onshore wind,,,Germany,2010-2015,2012,Capacity factor (%),Weighted average,24.02244039,
IRENA,Wind,Onshore wind,,,Germany,2010-2015,2013,Capacity factor (%),Weighted average,24.10772903,
IRENA,Wind,Onshore wind,,,Germany,2010-2015,2014,Capacity factor (%),Weighted average,25.27198973,
IRENA,Wind,Onshore wind,,,Germany,2010-2015,2015,Capacity factor (%),Weighted average,26.10585911,
IRENA,Wind,Onshore wind,,,Germany,2016-2023,2016,Capacity factor (%),Weighted average,26.9269117,
IRENA,Wind,Onshore wind,,,Germany,2016-2023,2017,Capacity factor (%),Weighted average,27.12593547,
IRENA,Wind,Onshore wind,,,Germany,2016-2023,2018,Capacity factor (%),Weighted average,31.25641699,
IRENA,Wind,Onshore wind,,,Germany,2016-2023,2019,Capacity factor (%),Weighted average,31.12189451,
IRENA,Wind,Onshore wind,,,Germany,2016-2023,2020,Capacity factor (%),Weighted average,34.04898033,
IRENA,Wind,Onshore wind,,,Germany,2016-2023,2021,Capacity factor (%),Weighted average,27.6801474,
IRENA,Wind,Onshore wind,,,Germany,2016-2023,2022,Capacity factor (%),Weighted average,27.99678121,
IRENA,Wind,Onshore wind,,,Germany,2016-2023,2023,Capacity factor (%),Weighted average,28.90860005,
IRENA,Wind,Onshore wind,,,India,1984-2009,1990,Capacity factor (%),Weighted average,21.71,
IRENA,Wind,Onshore wind,,,India,1984-2009,1991,Capacity factor (%),Weighted average,19,
IRENA,Wind,Onshore wind,,,India,1984-2009,1992,Capacity factor (%),Weighted average,19,
IRENA,Wind,Onshore wind,,,India,1984-2009,1993,Capacity factor (%),Weighted average,19,
IRENA,Wind,Onshore wind,,,India,1984-2009,1994,Capacity factor (%),Weighted average,19,
IRENA,Wind,Onshore wind,,,India,1984-2009,1995,Capacity factor (%),Weighted average,19,
IRENA,Wind,Onshore wind,,,India,1984-2009,1996,Capacity factor (%),Weighted average,19,
IRENA,Wind,Onshore wind,,,India,1984-2009,1997,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,India,1984-2009,1998,Capacity factor (%),Weighted average,19,
IRENA,Wind,Onshore wind,,,India,1984-2009,1999,Capacity factor (%),Weighted average,19,
IRENA,Wind,Onshore wind,,,India,1984-2009,2000,Capacity factor (%),Weighted average,18.18016467,
IRENA,Wind,Onshore wind,,,India,1984-2009,2001,Capacity factor (%),Weighted average,22.47087867,
IRENA,Wind,Onshore wind,,,India,1984-2009,2002,Capacity factor (%),Weighted average,20.33878164,
IRENA,Wind,Onshore wind,,,India,1984-2009,2003,Capacity factor (%),Weighted average,21.32683487,
IRENA,Wind,Onshore wind,,,India,1984-2009,2004,Capacity factor (%),Weighted average,23.79866498,
IRENA,Wind,Onshore wind,,,India,1984-2009,2005,Capacity factor (%),Weighted average,21.98688601,
IRENA,Wind,Onshore wind,,,India,1984-2009,2006,Capacity factor (%),Weighted average,21,
IRENA,Wind,Onshore wind,,,India,1984-2009,2007,Capacity factor (%),Weighted average,25.23987725,
IRENA,Wind,Onshore wind,,,India,1984-2009,2008,Capacity factor (%),Weighted average,22.0591548,
IRENA,Wind,Onshore wind,,,India,1984-2009,2009,Capacity factor (%),Weighted average,24.11564305,
IRENA,Wind,Onshore wind,,,India,2010-2015,2010,Capacity factor (%),Weighted average,24.71496905,
IRENA,Wind,Onshore wind,,,India,2010-2015,2011,Capacity factor (%),Weighted average,23.17701486,
IRENA,Wind,Onshore wind,,,India,2010-2015,2012,Capacity factor (%),Weighted average,23.22249367,
IRENA,Wind,Onshore wind,,,India,2010-2015,2013,Capacity factor (%),Weighted average,23.37952113,
IRENA,Wind,Onshore wind,,,India,2010-2015,2014,Capacity factor (%),Weighted average,22.59732309,
IRENA,Wind,Onshore wind,,,India,2010-2015,2015,Capacity factor (%),Weighted average,23.34022348,
IRENA,Wind,Onshore wind,,,India,2016-2023,2016,Capacity factor (%),Weighted average,23.6431989,
IRENA,Wind,Onshore wind,,,India,2016-2023,2017,Capacity factor (%),Weighted average,28.24864923,
IRENA,Wind,Onshore wind,,,India,2016-2023,2018,Capacity factor (%),Weighted average,34.70793184,
IRENA,Wind,Onshore wind,,,India,2016-2023,2019,Capacity factor (%),Weighted average,32.19093858,
IRENA,Wind,Onshore wind,,,India,2016-2023,2020,Capacity factor (%),Weighted average,33.32088987,
IRENA,Wind,Onshore wind,,,India,2016-2023,2021,Capacity factor (%),Weighted average,35.22849596,
IRENA,Wind,Onshore wind,,,India,2016-2023,2022,Capacity factor (%),Weighted average,32.52450713,
IRENA,Wind,Onshore wind,,,India,2016-2023,2023,Capacity factor (%),Weighted average,32.19162132,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1989,Capacity factor (%),Weighted average,20.45,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1991,Capacity factor (%),Weighted average,22.75,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1992,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1993,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1994,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1995,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1996,Capacity factor (%),Weighted average,19,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1997,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1998,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1999,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2000,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2001,Capacity factor (%),Weighted average,23,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2002,Capacity factor (%),Weighted average,20,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2003,Capacity factor (%),Weighted average,23,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2004,Capacity factor (%),Weighted average,25.170925,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2005,Capacity factor (%),Weighted average,22.42615433,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2006,Capacity factor (%),Weighted average,22.91481468,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2007,Capacity factor (%),Weighted average,24.089991,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2008,Capacity factor (%),Weighted average,23.94642114,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2009,Capacity factor (%),Weighted average,25.25,
IRENA,Wind,Onshore wind,,,Italy,2010-2015,2010,Capacity factor (%),Weighted average,25.42422489,
IRENA,Wind,Onshore wind,,,Italy,2010-2015,2011,Capacity factor (%),Weighted average,25.25,
IRENA,Wind,Onshore wind,,,Italy,2010-2015,2012,Capacity factor (%),Weighted average,25.46462142,
IRENA,Wind,Onshore wind,,,Italy,2010-2015,2013,Capacity factor (%),Weighted average,25.25,
IRENA,Wind,Onshore wind,,,Italy,2010-2015,2014,Capacity factor (%),Weighted average,25,
IRENA,Wind,Onshore wind,,,Italy,2010-2015,2015,Capacity factor (%),Weighted average,26.01607901,
IRENA,Wind,Onshore wind,,,Italy,2016-2023,2016,Capacity factor (%),Weighted average,28.73773378,
IRENA,Wind,Onshore wind,,,Italy,2016-2023,2017,Capacity factor (%),Weighted average,30.41833399,
IRENA,Wind,Onshore wind,,,Italy,2016-2023,2018,Capacity factor (%),Weighted average,33,
IRENA,Wind,Onshore wind,,,Italy,2016-2023,2019,Capacity factor (%),Weighted average,33,
