source,group_technology,technology,project_type,region,country,period,year,metric_type,value_category,country_value,regional_value
IRENA,Wind,Onshore wind,,,Canada,2016-2023,2020,Total installed cost (USD/kW),Weighted average,1619.951724,
IRENA,Wind,Onshore wind,,,Canada,2016-2023,2021,Total installed cost (USD/kW),Weighted average,1517.713961,
IRENA,Wind,Onshore wind,,,Canada,2016-2023,2022,Total installed cost (USD/kW),Weighted average,1777.534295,
IRENA,Wind,Onshore wind,,,Canada,2016-2023,2023,Total installed cost (USD/kW),Weighted average,1420.230203,
IRENA,Wind,Onshore wind,,,China,1984-2009,1996,Total installed cost (USD/kW),Weighted average,3160.17492,
IRENA,Wind,Onshore wind,,,China,1984-2009,1997,Total installed cost (USD/kW),Weighted average,3160.17492,
IRENA,Wind,Onshore wind,,,China,1984-2009,1998,Total installed cost (USD/kW),Weighted average,3033.767923,
IRENA,Wind,Onshore wind,,,China,1984-2009,1999,Total installed cost (USD/kW),Weighted average,2780.953929,
IRENA,Wind,Onshore wind,,,China,1984-2009,2000,Total installed cost (USD/kW),Weighted average,2654.546933,
IRENA,Wind,Onshore wind,,,China,1984-2009,2001,Total installed cost (USD/kW),Weighted average,2528.139936,
IRENA,Wind,Onshore wind,,,China,1984-2009,2002,Total installed cost (USD/kW),Weighted average,2464.936437,
IRENA,Wind,Onshore wind,,,China,1984-2009,2003,Total installed cost (USD/kW),Weighted average,2007.267496,
IRENA,Wind,Onshore wind,,,China,1984-2009,2004,Total installed cost (USD/kW),Weighted average,2098.094257,
IRENA,Wind,Onshore wind,,,China,1984-2009,2005,Total installed cost (USD/kW),Weighted average,1951.35417,
IRENA,Wind,Onshore wind,,,China,1984-2009,2006,Total installed cost (USD/kW),Weighted average,1874.256392,
IRENA,Wind,Onshore wind,,,China,1984-2009,2007,Total installed cost (USD/kW),Weighted average,1764.371297,
IRENA,Wind,Onshore wind,,,China,1984-2009,2008,Total installed cost (USD/kW),Weighted average,1815.820298,
IRENA,Wind,Onshore wind,,,China,1984-2009,2009,Total installed cost (USD/kW),Weighted average,1848.289499,
IRENA,Wind,Onshore wind,,,China,2010-2015,2010,Total installed cost (USD/kW),Weighted average,1723.993137,
IRENA,Wind,Onshore wind,,,China,2010-2015,2011,Total installed cost (USD/kW),Weighted average,1677.189521,
IRENA,Wind,Onshore wind,,,China,2010-2015,2012,Total installed cost (USD/kW),Weighted average,1623.4976,
